conversation_number,turns,res_semantic_sim,res_token_f1,res_entity_f1,ans_entity_f1,ans_token_f1,ans_semantic_sim,ans_faithfulness,ans_hallucination,ans_completeness,avg_latency
1,12,0.6666070452580849,0.5882275132275132,0.4912809412809413,0.1885184373531857,0.18651831667130614,0.5250893235206604,0.2824219551250906,0.8057091740073469,0.16666666666666666,10.830382943153381
2,9,0.6534598999553256,0.6000551487651591,0.5438746438746439,0.13064270280812415,0.13947480157207856,0.46907299757003784,0.25215853279738315,0.8483540196732534,0.09012345679012346,15.331411202748617
3,10,0.7174028068780899,0.6945076492135316,0.6758608058608059,0.12429354204490273,0.10686622490930915,0.38575402498245237,0.18371490325539652,0.8838548545716021,0.016666666666666666,13.368719291687011
4,9,0.7193193377719985,0.5850918145035792,0.6357463524130191,0.2934608515116994,0.27982493564043825,0.6642006536324819,0.42518156719360517,0.6627097134989687,0.3914141414141414,15.375248220231798
5,5,0.5563503861427307,0.4432748538011696,0.4808080808080808,0.14895834902462907,0.21742599071937269,0.44736623764038086,0.24986339444956168,0.8383771618863465,0.12,10.167160511016846
6,1,0.7196267247200012,0.6956521739130435,0.7407407407407408,0.26865671641791045,0.2912621359223301,0.7461774945259094,0.4984709978103638,0.6666666666666666,0.05263157894736842,18.74579620361328
7,4,0.8821448981761932,0.7583333333333333,0.5807692307692307,0.42793749116774227,0.3714411229528433,0.6625752598047256,0.46399892404161647,0.5661877394636016,0.5,10.275863707065582
8,7,0.43279028151716503,0.33030303030303027,0.3277056277056277,0.062122041631998574,0.11528924375767823,0.399045005440712,0.1856365497919518,0.9275728667916765,0.012987012987012988,10.414573328835624
9,7,0.6433520713554961,0.5429750847707504,0.5108225108225108,0.15717712151277197,0.14591661184788657,0.4230532263006483,0.24899874888233184,0.8119618941342125,0.10544217687074829,18.965333563940867
10,6,0.5957782591382662,0.46296296296296297,0.5064935064935064,0.04761904761904762,0.05502645502645503,0.3301040145258109,0.13748099292318028,0.9444444444444443,0.05555555555555555,8.62300447622935
11,5,0.6559486389160156,0.6424242424242423,0.6476190476190476,0.0460952380952381,0.019198508853681264,0.31522453725337984,0.10158671617679049,0.974401913875598,0.26666666666666666,9.738914918899535
12,10,0.707378183118999,0.6246923011628894,0.6143745143745144,0.20808331565591093,0.19464608919271972,0.5414531901478767,0.30627921108435247,0.7868557911309143,0.19,10.918024158477783
13,1,0.6827290654182434,0.47619047619047616,0.761904761904762,0.3764705882352941,0.2764227642276423,0.8241340517997742,0.6725107635770524,0.42857142857142855,0.2857142857142857,16.864301443099976
14,7,0.7508707983153207,0.6115288220551378,0.6137933495076352,0.14020806553327,0.12131731436370151,0.37988183753831045,0.1955096574548529,0.8660687281655024,0.18095238095238095,10.65971759387425
15,2,1.0,1.0,1.0,0.23484848484848486,0.13433962264150945,0.4758606255054474,0.37615619775671394,0.5885093167701863,0.0,8.278610825538635
