conversation_number,turns,res_semantic_sim,res_token_f1,res_entity_f1,ans_entity_f1,ans_token_f1,ans_semantic_sim,ans_faithfulness,ans_hallucination,ans_completeness,avg_latency
1,12,0.7165450006723404,0.6101905325783035,0.5242618492618493,0.110494782708405,0.08409501038672401,0.3265063265959422,0.30328855694043166,0.6618689725307373,0.08333333333333333,7.322107434272766
2,9,0.6147182749377357,0.518996947706958,0.47165242165242166,0.16805186551180495,0.13644325587983644,0.36769767767853206,0.40380623547377187,0.5721213926627349,0.10246913580246914,7.0233411524030895
3,10,0.7682958841323853,0.7250025138260432,0.7198701298701299,0.19376960076960076,0.15045225937639203,0.49818934202194215,0.30001333507373323,0.7214254854522835,0.13333333333333333,8.490186619758607
4,9,0.9014774627155728,0.7572051042639277,0.827665544332211,0.1801632340188032,0.18408385251621834,0.5177735189596812,0.34324635081897625,0.7018215702426229,0.08417508417508418,8.47404474682278
5,5,0.990165114402771,0.9333333333333332,0.8800000000000001,0.15820251537849,0.20544439856027755,0.5301609590649605,0.18676868838831118,0.8717876709175453,0.26666666666666666,5.877339601516724
6,1,0.719626784324646,0.6956521739130435,0.7407407407407408,0.36942675159235666,0.36036036036036034,0.7003804445266724,0.506126203784695,0.6233766233766234,0.15789473684210525,9.625044584274292
7,4,0.8821448683738708,0.7583333333333333,0.5807692307692307,0.34039473684210525,0.2691176470588236,0.5563236176967621,0.5051263523101807,0.41666666666666663,0.25,5.329383850097656
8,7,0.7246264772755759,0.6060985797827902,0.5705627705627706,0.047687144316357795,0.04432326862934516,0.19918491345431125,0.21419202555646272,0.7461784713885554,0.0,6.376224892480033
9,7,0.7842883893421718,0.6858322276278932,0.6536796536796537,0.2026267818878197,0.166978591873979,0.5681914516857692,0.36055757562638263,0.7159513017004026,0.2006802721088435,8.104644468852452
10,6,0.9327853918075562,0.7063492063492064,0.8373015873015873,0.3011586452762923,0.1377568791361895,0.5236628154913584,0.3033570349366978,0.7154882154882155,0.2222222222222222,8.414693792661032
11,5,0.7621365785598755,0.7224242424242424,0.7365079365079366,0.3433333333333334,0.26752136752136757,0.5544592320919037,0.4060917232240949,0.5961904761904762,0.4,5.793639993667602
12,10,0.8811456382274627,0.7931286549707602,0.7885137085137085,0.3400909273690703,0.28386415960424916,0.7371828019618988,0.5382391718260853,0.5002716266784064,0.4033333333333333,6.237366032600403
13,1,0.6827290058135986,0.47619047619047616,0.761904761904762,0.16901408450704228,0.022727272727272728,0.6119056344032288,0.5019051109041487,0.5714285714285714,0.0,10.911305904388428
14,7,0.7894148060253688,0.6416666666666667,0.6374458874458874,0.15471750689571825,0.14457175074135148,0.4879603854247502,0.33762088539087604,0.7340005232862375,0.1480225988700565,8.640084402901786
15,2,1.0,1.0,1.0,0.2103330710726462,0.13836113125453225,0.5128113329410553,0.23928554982687938,0.8308065494238932,0.16666666666666666,7.201526403427124
