Generation Model,Full Name,N,Entity-F1,Token-F1,Cosine Similarity,Semantic Similarity,Answer Relevance,Hallucination,Faithfulness,Completeness,Key Info,Exact Match,Latency (s)
mistral_v01,mistralai/Mistral-7B-v0.1,300,0.8168865634295515,0.7846480965485703,0.8625346252322197,0.8625345904380083,0.5167935502777496,0.10189298607294942,0.8775183848835437,0.8069801587301587,0.8328611894641307,0.6,0.2758651558558146
mistral_v02,mistralai/Mistral-7B-Instruct-v0.2,300,0.4119821094711049,0.3805123759886366,0.6980735885165632,0.6980735777753094,0.6196575584510963,0.584951746646792,0.4938325255349472,0.41093518518518524,0.43277952469309544,0.23333333333333334,1.6416874225934346
phi2,microsoft/phi-2,300,0.46957624463484055,0.4197754995133249,0.6532385788609584,0.653238571692879,0.5020754791889339,0.4647865714062196,0.5595065576493233,0.45879695767195766,0.47905217680114476,0.30666666666666664,1.200956954161326
qwen,Qwen/Qwen2.5-7B-Instruct,300,0.6150130087637552,0.5281355730682834,0.7654590861437222,0.7654590800233806,0.6630911702290178,0.3574762263670878,0.6589131542741892,0.6249834656084655,0.6468583786020576,0.25333333333333335,1.1869669834772745
