Generation Model,Full Name,N,Entity-F1,Token-F1,Cosine Similarity,Semantic Similarity,Answer Relevance,Hallucination,Faithfulness,Completeness,Key Info,Exact Match,Latency (s)
mistral_v01,mistralai/Mistral-7B-v0.1,300,0.86049158444459,0.8380723806041611,0.9000185106197993,0.9000184798737367,0.5473772416512172,0.0999638437878353,0.8939200203937723,0.8672949735449735,0.8799677128427129,0.6466666666666666,1.0294416268666586
mistral_v02,mistralai/Mistral-7B-Instruct-v0.2,300,0.45353334029845777,0.42740685490311187,0.7115909710153937,0.7115909511782229,0.6028182326753935,0.5510750989000921,0.5212336806876575,0.44443320105820106,0.47032353339241884,0.30666666666666664,4.540636452039083
phi2,microsoft/phi-2,300,0.45691676773958745,0.42529976400031455,0.6265492332571496,0.6265492167696357,0.4907291238072018,0.5218777203760406,0.5123121179998048,0.4314318783068783,0.4762052269625799,0.36,2.758838947614034
qwen,Qwen/Qwen2.5-7B-Instruct,300,0.6551422869786275,0.5726860497601454,0.8062554150416206,0.806255408503736,0.669841725602746,0.3381917964215745,0.6843839001361445,0.6648492063492064,0.7253891689952061,0.24333333333333335,3.6210365104675293
