Embedding Model,Full Name,N,Entity-F1,Token-F1,Cosine Similarity,Semantic Similarity,Answer Relevance,Hallucination,Faithfulness,Completeness,Key Info,Exact Match,Latency (s)
minilm,all-MiniLM-L6-v2,400,0.585805842891651,0.5392411376551434,0.7383033457025886,0.7383033266081475,0.5696146172261797,0.38035920941899265,0.6451864815770996,0.5894216269841269,0.6118252284637734,0.36,1.516150525212288
bge,BAAI/bge-base-en-v1.5,400,0.576588014575525,0.529475261903158,0.7370760067692026,0.7370759921218268,0.5700183597579599,0.3869954571589247,0.6391708354520756,0.5812847222222222,0.6073444652039853,0.35,1.51459910094738
multiqa,sentence-transformers/multi-qa-mpnet-base-dot-v1,400,0.5730608743871229,0.524433708449398,0.731584226754494,0.7315842168126255,0.5613921474013478,0.3830944928448235,0.6393063603731758,0.5622137896825397,0.5906173136360829,0.345,1.3766059565544129
